Location,Period,Indicator,First Tooltip
Afghanistan,2018,Men who have sex with men (MSM) with active syphilis (%),0.76
Afghanistan,2017,Men who have sex with men (MSM) with active syphilis (%),10.8
Afghanistan,2012,Men who have sex with men (MSM) with active syphilis (%),10.2
Afghanistan,2010,Men who have sex with men (MSM) with active syphilis (%),17.01
Algeria,2018,Men who have sex with men (MSM) with active syphilis (%),2.2
Algeria,2017,Men who have sex with men (MSM) with active syphilis (%),2.9
Algeria,2016,Men who have sex with men (MSM) with active syphilis (%),36.6
Angola,2017,Men who have sex with men (MSM) with active syphilis (%),2
Angola,2016,Men who have sex with men (MSM) with active syphilis (%),1.9
Angola,2011,Men who have sex with men (MSM) with active syphilis (%),0.32
Antigua and Barbuda,2012,Men who have sex with men (MSM) with active syphilis (%),10
Argentina,2014,Men who have sex with men (MSM) with active syphilis (%),17.7
Argentina,2013,Men who have sex with men (MSM) with active syphilis (%),18.1
Argentina,2009,Men who have sex with men (MSM) with active syphilis (%),20.12
Argentina,2008,Men who have sex with men (MSM) with active syphilis (%),20.12
Armenia,2018,Men who have sex with men (MSM) with active syphilis (%),0.5
Armenia,2016,Men who have sex with men (MSM) with active syphilis (%),0
Armenia,2014,Men who have sex with men (MSM) with active syphilis (%),1.8
Armenia,2012,Men who have sex with men (MSM) with active syphilis (%),1.9
Armenia,2010,Men who have sex with men (MSM) with active syphilis (%),1.3
Azerbaijan,2018,Men who have sex with men (MSM) with active syphilis (%),7.3
Azerbaijan,2016,Men who have sex with men (MSM) with active syphilis (%),13.6
Bahamas,2016,Men who have sex with men (MSM) with active syphilis (%),36
Bahamas,2013,Men who have sex with men (MSM) with active syphilis (%),21.4
Bahamas,2010,Men who have sex with men (MSM) with active syphilis (%),44.12
Bangladesh,2016,Men who have sex with men (MSM) with active syphilis (%),1.1
Bangladesh,2014,Men who have sex with men (MSM) with active syphilis (%),1.2
Bangladesh,2013,Men who have sex with men (MSM) with active syphilis (%),1.7
Bangladesh,2011,Men who have sex with men (MSM) with active syphilis (%),1.5
Bangladesh,2010,Men who have sex with men (MSM) with active syphilis (%),1
Bangladesh,2008,Men who have sex with men (MSM) with active syphilis (%),1
Barbados,2016,Men who have sex with men (MSM) with active syphilis (%),0
Barbados,2014,Men who have sex with men (MSM) with active syphilis (%),13.6
Belarus,2017,Men who have sex with men (MSM) with active syphilis (%),4.7
Belarus,2013,Men who have sex with men (MSM) with active syphilis (%),2
Belarus,2011,Men who have sex with men (MSM) with active syphilis (%),1.06
Belgium,2010,Men who have sex with men (MSM) with active syphilis (%),7.68
Belize,2012,Men who have sex with men (MSM) with active syphilis (%),0
Bolivia (Plurinational State of),2018,Men who have sex with men (MSM) with active syphilis (%),4.1
Bolivia (Plurinational State of),2017,Men who have sex with men (MSM) with active syphilis (%),6.1
Bolivia (Plurinational State of),2014,Men who have sex with men (MSM) with active syphilis (%),29
Bolivia (Plurinational State of),2013,Men who have sex with men (MSM) with active syphilis (%),20.3
Bolivia (Plurinational State of),2011,Men who have sex with men (MSM) with active syphilis (%),18.91
